ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc,Batch information (Contact solution),SL min (g/L),SL max (g/L),Cin min (ppb),Cin max (ppb),Kd (L/Kg),Koc (L/Kg OC),log Koc ([-]),log Kd ([-]),Comments on the derivation of Kd (from literature studies),KFr (reported),KFr (reported units),1/n ([-]),Harmonized KFr ((ug/kg)/(ug/L)^(1/n)),Cw (ug/L),Cs (ug/kg),Kd (L/kg),,
792,Guelfo,2013,Environmental Science and Technology, 10.1021/es3048043,soil,Sandy Clay Loam C,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999205678074798,0,7.9432192520095278E-6,1,0,-0.99999205678074798,498.93740794321923,96485,-193.37943409821597,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.2,not reported,24.17,432.80508550452146,2.4170000000000003,3.99,147.88732394366198,0.39900000000000002,CBD,12.009766666666669,KNN input,47,20,33,not reported,100,0.8,8.0000000000000002E-3,AGW + 1g/L NaN3,375,-,0.5,1000,5.1100000000000003,638.75,2.8053309131427691,0.70842090013471271,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,
793,Higgins and Luthy,2007,Environmental Science and Technology,10.1021/es061000n,sediment,1,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999987410747471,0,1.2589252533048661E-7,1,0,-0.99999987410747471,498.93740012589251,96485,-193.38094885032569,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,7,Non reported,18.6539,334.0299041991226,1.8653900000000001,1.1061800000000002,41,0.11061800000000002,DCB,38.6,Non reported,11,36,53,Non reported,100,2.48,2.4799999999999999E-2,"0,5 mM CaCl2",100,-,0.49993739999999998,99.987479999999991,17.16,691.9354838709678,2.8400656026864706,1.2345172835126867,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,
794,Higgins and Luthy,2007,Environmental Science and Technology,10.1021/es061000n,sediment,2,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999999601892845,0,3.9810715470456442E-8,1,0,-0.9999999601892845,498.93740003981065,96485,-193.38096553027393,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,7.5,Non reported,6.4780199999999999,116,0.64780199999999999,0.18886,7,1.8886E-2,DCB,30,Non reported,49,25,26,Non reported,100,1.02,1.0200000000000001E-2,"0,5 mM CaCl2",100,-,0.49993739999999998,99.987479999999991,1.82,178.43137254901961,2.2514712162231572,0.26007138798507479,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,
795,Higgins and Luthy,2007,Environmental Science and Technology,10.1021/es061000n,sediment,3,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999996837722438,0,3.1622775601683729E-8,1,0,-0.99999996837722438,498.93740003162276,96485,-193.38096711683923,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,7.6,Non reported,6.7578500000000004,121.01083355716717,0.67578500000000008,0.37772,14,3.7772E-2,DCB,32.1,Non reported,31,38,31,Non reported,100,4.34,4.3400000000000001E-2,"0,5 mM CaCl2",100,-,0.49993739999999998,99.987479999999991,14.24,328.11059907834101,2.516020259788327,1.1535099893008376,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,
796,Higgins and Luthy,2007,Environmental Science and Technology,10.1021/es061000n,sediment,5,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999974881198781,0,2.5118801219519806E-6,1,0,-0.9999974881198781,498.93740251188012,96485,-193.38048652094997,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.7,Non reported,14.9678,268.02399498612232,1.49678,2.4281999999999999,89.999999999999986,0.24281999999999998,DCB,22,Non reported,80,15,5,Non reported,100,9.66,9.6600000000000005E-2,"0,5 mM CaCl2",100,-,0.49993739999999998,99.987479999999991,45.83,474.43064182194615,2.6761727308292933,1.6611498572447867,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,
797,Jeon,2011,Journal of Environmental Monitoring,10.1039/c0em00791a,sediment,APH,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999973016400467,0,2.6983599533114543E-7,1,0,-0.99999973016400467,498.93740026983596,96485,-193.38092095860696,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,6.6688999999999998,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,11.78125,KNN input,30.648,36.685000000000002,33.302500000000002,KNN input,100.63550000000001,0.21,2.0999999999999999E-3,Commercial ASM,200,-,100,-,2.6,1238.0952380952383,3.0927540532368987,0.41497334797081797,Kd approximately extracted from Figure 3,,,,,,,,,
798,Jeon,2011,Journal of Environmental Monitoring,10.1039/c0em00791a,sediment,YG,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999986185030199,0,1.381496980418233E-7,1,0,-0.99999986185030199,498.93740013814971,96485,-193.38094647527097,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,6.959649999999999,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,10.6485,KNN input,38.113900000000001,32.762700000000002,28.4998,KNN input,99.37639999999999,0.43,4.3E-3,Commercial ASM,200,-,100,-,2.6,604.65116279069764,2.7815048923912316,0.41497334797081797,Kd approximately extracted from Figure 3,,,,,,,,,
799,Jeon,2011,Journal of Environmental Monitoring,10.1039/c0em00791a,sediment,WD,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999984834737432,0,1.5165262573159975E-7,1,0,-0.99999984834737432,498.93740015165258,96485,-193.38094385882818,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,6.919150000000001,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,12.094250000000001,KNN input,38.112499999999997,31.469200000000001,29.446650000000002,KNN input,99.028350000000003,0.54999999999999993,5.4999999999999997E-3,Commercial ASM,200,-,100,-,3,545.4545454545455,2.7367585652254185,0.47712125471966244,Kd approximately extracted from Figure 3,,,,,,,,,
800,Jhonson,2007,Jounral of Chemical Engeneering Data,10.1021/je060285g,sediment,Lake Michigan,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999667086131472,0,3.3291386852439612E-6,1,0,-0.99999667086131472,498.93740332913865,96485,-193.3803281619378,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5776666667999999,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,12.69249466666666,KNN input,35.851753331999987,38.789946668000013,25.304600000000001,KNN input,99.946300000000008,2.5,2.5000000000000001E-2,KNO3,0.66666666666666674,5.3333333333333339,120,8000,7.52,300.79999999999995,2.4782778319196046,0.87621784059164221,Reported Kd,,,,,,,,,
801,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,ASCO,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999999498812764,0,5.0118723111538468E-9,1,0,-0.99999999498812764,498.93740000501185,96485,-193.38097227319562,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,8.4,1:25 deionized water,0.40699999999999997,7.2880293669979412,4.07E-2,0.504,18.680504077094145,5.04E-2,Asc / OA,42.8,BaCl2-TEA (pH 8.2),18.5,64.599999999999994,16.899999999999999,Pipette,100,0.2,2E-3,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,19,9500,3.9777236052888476,1.2787536009528289,Reported Kd originated from a linear isotherm,,,,,,,,,
802,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,ALM,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999601894414336,0,3.981055856666137E-6,1,0,-0.99999601894414336,498.93740398105581,96485,-193.38020184088887,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5,1:25 deionized water,1.0129999999999999,18.13949324021846,0.10129999999999999,0.40400000000000003,14.974054855448481,4.0400000000000005E-2,Asc / OA,23.4,BaCl2-TEA (pH 8.2),54.4,35,10.6,Pipette,100,1.6,1.6E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,32,2000,3.3010299956639813,1.505149978319906,Reported Kd originated from a linear isotherm,,,,,,,,,
803,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,GOLOSO,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999841510931942,0,1.5848906805786579E-6,1,0,-0.99999841510931942,498.93740158489061,96485,-193.38066614235672,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.9,1:25 deionized water,0.13800000000000001,2.4711254364759605,1.3800000000000002E-2,0.32500000000000001,12.045959970348406,3.2500000000000001E-2,Asc / OA,72.400000000000006,BaCl2-TEA (pH 8.2),73.400000000000006,16.8,9.8000000000000007,Pipette,100,3.9,3.9E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,38,974.35897435897436,2.988718989590311,1.5797835966168101,Reported Kd originated from a linear isotherm,,,,,,,,,
804,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,DELTA2,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999998741074603,0,1.258925395945232E-8,1,0,-0.99999998741074603,498.93740001258925,96485,-193.38097080493725,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,8,1:25 deionized water,2.9660000000000002,53.111290178171728,0.29660000000000003,0.23,8.5248332097850259,2.3E-2,Asc / OA,89.3,BaCl2-TEA (pH 8.2),12.2,54.3,33.5,Pipette,100,7.7,7.6999999999999999E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,76,987.01298701298708,2.9943228671083095,1.8808135922807914,Reported Kd originated from a linear isotherm,,,,,,,,,
805,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,OVI01,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999205678074798,0,7.9432192520095278E-6,1,0,-0.99999205678074798,498.93740794321923,96485,-193.37943409821597,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.2,1:25 deionized water,4.5149999999999997,80.848777867311313,0.45149999999999996,0.377,13.973313565604151,3.7699999999999997E-2,Asc / OA,46.3,BaCl2-TEA (pH 8.2),41.3,39.799999999999997,18.899999999999999,Pipette,100,9.4,9.4E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,110,1170.2127659574469,3.0682648315585266,2.0413926851582249,Reported Kd originated from a linear isotherm,,,,,,,,,
806,Milinovic,2015,Science of the Total Environment, 10.1016/j.scitotenv.2014.12.017,soil,DUBLIN,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999974881198781,0,2.5118801219519806E-6,1,0,-0.9999974881198781,498.93740251188012,96485,-193.38048652094997,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.7,1:25 deionized water,10.64,190.52735249350883,1.0640000000000001,0.16700000000000001,6.1897702001482582,1.67E-2,Asc / OA,130,BaCl2-TEA (pH 8.2),20.7,78,1.3,Pipette,100,39,0.39,"0,01 M CaCl2 + 0,1 % NaN3",100,-,5,1000,295,756.41025641025635,2.8787574089516639,2.469822015978163,Reported Kd originated from a linear isotherm,,,,,,,,,
807,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,ALM,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999601894414336,0,3.981055856666137E-6,1,0,-0.99999601894414336,498.93740398105581,96485,-193.38020184088887,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5,1:25 deionized water,1.0129999999999999,18.13949324021846,0.10129999999999999,0.40400000000000003,14.974054855448481,4.0400000000000005E-2,Asc / OA,23.4,BaCl2-TEA (pH 8.2),54.4,35,10.6,Pipette,100,1.6,1.6E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,170,-,32,2000,3.3010299956639813,1.505149978319906,Reported Kd originated from a single spiked concentration,,,,,,,,,
808,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,DELTA2,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999998741074603,0,1.258925395945232E-8,1,0,-0.99999998741074603,498.93740001258925,96485,-193.38097080493725,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,8,1:25 deionized water,2.9660000000000002,53.111290178171728,0.29660000000000003,0.23,8.5248332097850259,2.3E-2,Asc / OA,87.3,BaCl2-TEA (pH 8.2),12.2,54.3,33.5,Pipette,100,7.7,7.6999999999999999E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,170,-,76,987.01298701298708,2.9943228671083095,1.8808135922807914,Reported Kd originated from a single spiked concentration,,,,,,,,,
809,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,OVI01,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999205678074798,0,7.9432192520095278E-6,1,0,-0.99999205678074798,498.93740794321923,96485,-193.37943409821597,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.2,1:25 deionized water,4.5149999999999997,80.848777867311313,0.45149999999999996,0.377,13.973313565604151,3.7699999999999997E-2,Asc / OA,44.3,BaCl2-TEA (pH 8.2),41.3,39.799999999999997,18.899999999999999,Pipette,100,9.4,9.4E-2,"0,01 M CaCl2 + 0,1 % NaN3",100,-,170,-,110,1170.2127659574469,3.0682648315585266,2.0413926851582249,Reported Kd originated from a single spiked concentration,,,,,,,,,
810,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,DUBLIN,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999800474166611,0,1.9952583339051124E-6,1,0,-0.99999800474166611,498.93740199525831,96485,-193.38058662600847,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.8,1:25 deionized water,6.5019999999999998,116.42940281135286,0.6502,1.732,64.195700518902896,0.17319999999999999,Asc / OA,90,BaCl2-TEA (pH 8.2),46,51,3,Pipette,100,27,0.27,"0,01 M CaCl2 + 0,1 % NaN3",100,-,670,-,144,533.33333333333326,2.7269987279362624,2.1583624920952498,Reported Kd originated from a single spiked concentration,,,,,,,,,
811,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,UIAR,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999974881198781,0,2.5118801219519806E-6,1,0,-0.9999974881198781,498.93740251188012,96485,-193.38048652094997,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.7,1:25 deionized water,12.358000000000001,221.29107350702839,1.2358,1.0269999999999999,38.065233506300963,0.10269999999999999,Asc / OA,103,BaCl2-TEA (pH 8.2),35,63,2,Pipette,100,32,0.32,"0,01 M CaCl2 + 0,1 % NaN3",100,-,670,-,171,534.375,2.7278461320722478,2.2329961103921536,Reported Kd originated from a single spiked concentration,,,,,,,,,
812,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,BRA,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999974881198781,0,2.5118801219519806E-6,1,0,-0.9999974881198781,498.93740251188012,96485,-193.38048652094997,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.7,1:25 deionized water,10.64,190.52735249350883,1.0640000000000001,0.16700000000000001,6.1897702001482582,1.67E-2,Asc / OA,140,BaCl2-TEA (pH 8.2),20.7,78,1.3,Pipette,100,39,0.39,"0,01 M CaCl2 + 0,1 % NaN3",100,-,670,-,295,756.41025641025635,2.8787574089516639,2.469822015978163,Reported Kd originated from a single spiked concentration,,,,,,,,,
813,Fabregat-Palau,2021,Science of the Total Environment, 10.1016/j.scitotenv.2021.149343,soil,KOM,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999974881198781,0,2.5118801219519806E-6,1,0,-0.9999974881198781,498.93740251188012,96485,-193.38048652094997,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.7,1:25 deionized water,19.667999999999999,352.18909481600861,1.9667999999999999,0.48099999999999998,17.828020756115642,4.8099999999999997E-2,Asc / OA,114,BaCl2-TEA (pH 8.2),20,78.900000000000006,1.1000000000000001,Pipette,100,41,0.41,"0,01 M CaCl2 + 0,1 % NaN3",100,-,670,-,207,504.87804878048786,2.7031864887371824,2.3159703454569178,Reported Kd originated from a single spiked concentration,,,,,,,,,
814,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,MY1,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999630734787115,0,3.6926521288789129E-6,1,0,-0.99999630734787115,498.93740369265208,96485,-193.38025772446272,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5326599999999999,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,7.55,not reported,12.9,84.16,2.95,not reported,100.01,1.49,1.49E-2,"0,005 M CaCl2",125,-,0.5,100,23.5,1577.1812080536913,3.1978815938594622,1.3710678622717363,Reported Kd originated from a linear isotherm,,,,,,,,,
815,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,MY2,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999457760715693,0,5.4223928431076608E-6,1,0,-0.99999457760715693,498.93740542239283,96485,-193.37992255510338,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3658066668000002,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,5.12,not reported,60.5,38.61,0.94,not reported,100.05,0.67,6.7000000000000002E-3,"0,005 M CaCl2",125,-,0.5,100,10,1492.5373134328358,3.1739251972991736,1,Reported Kd originated from a linear isotherm,,,,,,,,,
816,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,MY3,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999451784952031,0,5.4821504796677426E-6,1,0,-0.99999451784952031,498.93740548215044,96485,-193.3799109759525,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3610466668000001,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,6.87,not reported,46.2,51.269999999999996,2.61,not reported,100.08,0.75,7.4999999999999997E-3,"0,005 M CaCl2",125,-,0.5,100,6.93,924,2.9656719712201065,0.84073323461180671,Reported Kd originated from a linear isotherm,,,,,,,,,
817,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,MY4,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999489434910782,0,5.1056508921866872E-6,1,0,-0.99999489434910782,498.93740510565084,96485,-193.37998392973347,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3919466668000009,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,6.35,not reported,37.299999999999997,60.64,2.15,not reported,100.09,0.85,8.5000000000000006E-3,"0,005 M CaCl2",125,-,0.5,100,10.5,1235.2941176470588,3.0917703733556454,1.0211892990699381,Reported Kd originated from a linear isotherm,,,,,,,,,
818,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,MY5,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999437851712725,0,5.6214828727314409E-6,1,0,-0.99999437851712725,498.93740562148281,96485,-193.3798839777161,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3501466668000006,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,6.96,not reported,41.5,56.540000000000006,2,not reported,100.04,0.63,6.3E-3,"0,005 M CaCl2",125,-,0.5,100,8.23,1306.3492063492065,3.1160592857586882,0.91539983521226986,Reported Kd originated from a linear isotherm,,,,,,,,,
819,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH1,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.9999953532285204,0,4.6467714795539728E-6,1,0,-0.9999953532285204,498.93740464677143,96485,-193.3800728461342,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.4328466667999997,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.52,not reported,30.1,65.53,4.37,not reported,100,1.27,1.2699999999999999E-2,"0,005 M CaCl2",125,-,0.5,100,15.4,1212.5984251968505,3.0837169998805063,1.1875207208364631,Reported Kd originated from a linear isotherm,,,,,,,,,
820,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH2,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999602724660142,0,3.9727533985561331E-6,1,0,-0.99999602724660142,498.93740397275332,96485,-193.38020344964417,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5009066667999997,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.82,not reported,24.1,70.7,4.82,not reported,99.62,1.31,1.3100000000000001E-2,"0,005 M CaCl2",125,-,0.5,100,19.8,1511.4503816793892,3.1793938946057669,1.2966651902615312,Reported Kd originated from a linear isotherm,,,,,,,,,
821,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH3,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999482904108139,0,5.1709589186263423E-6,1,0,-0.99999482904108139,498.93740517095893,96485,-193.37997127509152,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3864266668000003,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.69,not reported,37,58.99,4.09,not reported,100.08000000000001,1.25,1.2500000000000001E-2,"0,005 M CaCl2",125,-,0.5,100,15.9,1272,3.1044871113123951,1.2013971243204515,Reported Kd originated from a linear isotherm,,,,,,,,,
822,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH4,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999455684164429,0,5.443158355671601E-6,1,0,-0.99999455684164429,498.9374054431583,96485,-193.37991853140002,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.3641466668,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9,not reported,58.3,39.31,2.38,not reported,99.99,1.21,1.21E-2,"0,005 M CaCl2",125,-,0.5,100,13.5,1115.702479338843,3.0475483981785558,1.1303337684950061,Reported Kd originated from a linear isotherm,,,,,,,,,
823,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH5,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999596269481228,0,4.0373051877639565E-6,1,0,-0.99999596269481228,498.93740403730516,96485,-193.38019094153719,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.4939066667999992,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,8.9,not reported,24.1,71.009999999999991,4.91,not reported,100.01999999999998,1.1399999999999999,1.1399999999999999E-2,"0,005 M CaCl2",125,-,0.5,100,14.1,1236.8421052631579,3.0923142613189074,1.1492191126553799,Reported Kd originated from a linear isotherm,,,,,,,,,
824,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH6,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.999996249075082,0,3.7509249179593157E-6,1,0,-0.999996249075082,498.93740375092483,96485,-193.3802464330285,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5258600000000007,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,7.72,not reported,11.1,81.599999999999994,7.38,not reported,100.07999999999998,0.93,9.300000000000001E-3,"0,005 M CaCl2",125,-,0.5,100,10.199999999999999,1096.7741935483868,3.0401172232079823,1.0086001717619175,Reported Kd originated from a linear isotherm,,,,,,,,,
825,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH7,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999638541509817,0,3.6145849017946273E-6,1,0,-0.99999638541509817,498.93740361458487,96485,-193.38027285143653,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5419400000000003,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.33,not reported,13.6,80.199999999999989,6.23,not reported,100.02999999999999,0.55000000000000004,5.5000000000000005E-3,"0,005 M CaCl2",125,-,0.5,100,7.54,1370.9090909090908,3.1370086563755302,0.87737134586977406,Reported Kd originated from a linear isotherm,,,,,,,,,
826,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH8,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999622620451056,0,3.7737954894173753E-6,1,0,-0.99999622620451056,498.93740377379544,96485,-193.38024200143087,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5232199999999994,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,9.66,not reported,18.899999999999999,75.5,5.59,not reported,99.990000000000009,0.18,1.8E-3,"0,005 M CaCl2",125,-,0.5,100,2.0099999999999998,1116.6666666666665,3.0479235523171826,0.30319605742048883,Reported Kd originated from a linear isotherm,,,,,,,,,
827,Chun You ,2010,Environmental Pollution,doi:10.1016/j.envpol.2010.01.009,sediment,TH9,PFOS,PFSA,C8HF17O3S,499.93739999999997,0.1,-,0,0,0,0.99999632499102564,0,3.6750089743068768E-6,1,0,-0.99999632499102564,498.93740367500891,96485,-193.38026114315127,8,17,0.29721362229102166,64.60808893273439,8,2.0166155475571776,5,5.5347400000000002,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,10.1,not reported,14.9,78.099999999999994,7.16,not reported,100.16,0.16,1.6000000000000001E-3,"0,005 M CaCl2",125,-,0.5,100,1.85,1156.25,3.0630517457470892,0.26717172840301384,Reported Kd originated from a linear isotherm,,,,,,,,,
