ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc (Contact solution),Batch information (g/L),SL min (g/L),SL max (ppb),Cin min (ppb),Cin max (L/Kg),Kd (L/Kg OC),Koc ([-]),log Koc ([-]),log Kd (from literature studies),Comments on the derivation of Kd (reported),KFr (reported units),KFr ([-]),1/n ((ug/kg)/(ug/L)^(1/n)),Harmonized KFr (ug/L),Cw (ug/kg),Cs (L/kg),Kd,,,,,,,,,,,,,,,,,,,
203,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Aubbeenaubbee-Capac,PFHpA,PFCA,C7HF13O2,364,-0.2,-,0,0,0,0.99999849893552062,0,1.50106447937241E-6,1,0,-0.99999849893552062,363.00000150106445,96485,-265.79849799122047,7,13,0.34008097165991902,67.857142857142861,6,3.5619357633137811,4.3,5.6236000000000006,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,17.2,not reported,44.8,27,28.2,not reported,100,4,0.04,10 mM CaCl2,50,-,0,100,53.9,1347.5,3.1295287738587763,1.7315887651867388,Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Colwood-Brookston,PFHpA,PFCA,C7HF13O2,364,-0.2,-,0,0,0,0.9999982333959051,0,1.7666040948916728E-6,1,0,-0.9999982333959051,363.0000017666041,96485,-265.79842721664824,7,13,0.34008097165991902,67.857142857142861,6,3.5619357633137811,4.3,5.5528600000000008,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,12.2,not reported,41.8,30,28.2,not reported,100,2,0.02,10 mM CaCl2,50,-,0,100,43,2150,3.3324384599156054,1.6334684555795864,Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Riddles-Hillsdale,PFHpA,PFCA,C7HF13O2,364,-0.2,-,0,0,0,0.99999774680374132,0,2.2531962587246622E-6,1,0,-0.99999774680374132,363.00000225319627,96485,-265.79829752469215,7,13,0.34008097165991902,67.857142857142861,6,3.5619357633137811,4.3,5.4471999999999996,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,7.3,not reported,48.9,26.9,24.2,not reported,100,2.2000000000000002,2.2000000000000002E-2,10 mM CaCl2,50,-,0,100,34.6,1572.7272727272727,3.1966534179705706,1.5390760987927767,Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Campos-Pereira,2018,Chemosphere, 10.1016/j.chemosphere.2018.05.012,soil,organic soil horitzon,PFNA,PFCA,C9HF17O2,464,-0.2,-,0,0,0,0.99998004777494953,0,1.9952225050461341E-5,1,0,-0.99998004777494953,463.00001995222505,96485,-208.38676188290808,9,17,0.33436532507739936,69.612068965517238,8,1.7965743332104296,5.6,4.5,deionized water,5.8637250000000002E-2,1.05,5.8637250000000002E-3,0.18454320000000002,6.84,1.8454320000000003E-2,"0,1 M HNO3",21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45,0.45,MIXTURE EXPERIMENTS,11.25,-,1.25,-,357.44770562592697,794.32823472428208,2.9000000000000004,2.5532125137753439, Kd is derived in this study from reported Koc at the Ca / pH 4 / 5 mM condition (Table S7),,,,,,,,,,,,,,,,,,,,,,,,,,
493,Campos-Pereira,2018,Chemosphere, 10.1016/j.chemosphere.2018.05.012,soil,organic soil horitzon,PFDA,PFCA,C10HF19O2,514,-0.2,-,0,0,0,0.99998004777494953,0,1.9952225050461341E-5,1,0,-0.99998004777494953,513.0000199522251,96485,-188.07616209946994,10,19,0.33240997229916897,70.233463035019454,9,0.90308998699194354,6.3,4.5,deionized water,5.8637250000000002E-2,1.05,5.8637250000000002E-3,0.18454320000000002,6.84,1.8454320000000003E-2,"0,1 M HNO3",21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45,0.45,MIXTURE EXPERIMENTS,11.25,-,1.25,-,11303.488941793137,25118.86431509586,4.4000000000000012,4.0532125137753443, Kd is derived in this study from reported Koc at the Ca / pH 5 / 3 mM condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
557,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Peat Oe,PFUnA,PFCA,C11HF21O2,564,-0.2,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,563.00005011621158,96485,-171.36795017586343,11,21,0.33082706766917291,70.744680851063833,10,8.6001717619175692E-3,6.9,4.0999999999999996,deionized water 40g/L,1.5636599999999998,27.999999999999996,0.15636599999999998,0.45869399999999994,8.2136986301369852,4.5869399999999991E-2,OA,14.715147999999999,KNN input,37.490533331999998,37.393866668000001,24.9392,KNN input,99.823599999999999,46.6,0.46600000000000003,10 mM  NaNO3,25,-,6.7679999999999998,-,396.63032580230799,851.13803820237763,2.9300000000000006,2.5983859166900007, Kd is derived in this study from reported Koc at the Ca / pH 3 condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
558,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Mor Oe,PFUnA,PFCA,C11HF21O2,564,-0.2,-,0,0,0,0.99993690824637249,0,6.3091753627486543E-5,1,0,-0.99993690824637249,563.00006309175365,96485,-171.36572252289042,11,21,0.33082706766917291,70.744680851063833,10,8.6001717619175692E-3,6.9,4,deionized water 40g/L,0.279225,5.0000000000000009,2.7922499999999999E-2,0.40473000000000003,7.2473811442385179,4.0473000000000002E-2,OA,14.763688,KNN input,37.414333332000012,37.430866668,24.970400000000001,KNN input,99.815600000000003,53.6,0.53600000000000003,10 mM  NaNO3,25,-,6.7679999999999998,-,134.63711272891354,251.18864315095809,2.4,2.1291647896927701, Kd is derived in this study from reported Koc at the Ca / pH 3 condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
584,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Peat Oe,PFDoA,PFCA,C12HF23O2,614,-0.2,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,613.00005011621147,96485,-157.39014135322341,12,23,0.32951945080091533,71.172638436482089,11,-0.88605664769316317,7.6,4.0999999999999996,deionized water 40g/L,1.5636599999999998,27.999999999999996,0.15636599999999998,0.45869399999999994,8.2136986301369852,4.5869399999999991E-2,OA,14.715147999999999,KNN input,37.490533331999998,37.393866668000001,24.9392,KNN input,99.823599999999999,46.6,0.46600000000000003,10 mM  NaNO3,25,-,4.9119999999999999,-,300.87487073014967,645.65422903465594,2.8100000000000005,2.4783859166900006, Kd is derived in this study from reported Koc at the Ca / pH 3 condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
585,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Mor Oe,PFDoA,PFCA,C12HF23O2,614,-0.2,-,0,0,0,0.99993690824637249,0,6.3091753627486543E-5,1,0,-0.99993690824637249,613.00006309175365,96485,-157.38809569699885,12,23,0.32951945080091533,71.172638436482089,11,-0.88605664769316317,7.6,4,deionized water 40g/L,0.279225,5.0000000000000009,2.7922499999999999E-2,0.40473000000000003,7.2473811442385179,4.0473000000000002E-2,OA,14.763688,KNN input,37.414333332000012,37.430866668,24.970400000000001,KNN input,99.815600000000003,53.6,0.53600000000000003,10 mM  NaNO3,25,-,4.9119999999999999,-,140.98236436559247,263.02679918953817,2.42,2.1491647896927701, Kd is derived in this study from reported Koc at the Ca / pH 3 condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
599,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Peat Oi,PFTrA,PFCA,C13HF25O2,664,-0.2,-,0,0,0,0.99984153579563773,0,1.5846420436223696E-4,1,0,-0.99984153579563773,663.00015846420433,96485,-145.50480772841405,13,25,0.32842105263157895,71.536144578313255,12,-1.7896814801737682,8.3000000000000007,3.6,deionized water 40g/L,0.37974599999999997,6.8,3.7974599999999997E-2,0.107928,1.932634971796938,1.07928E-2,OA,14.768748,KNN input,37.396533331999997,37.430266667999987,24.989000000000001,KNN input,99.815799999999996,44.9,0.44900000000000001,10 mM  NaNO3,25,-,1.7264000000000002,-,539.81673114321882,1202.2644346174138,3.0800000000000005,2.7322463410033233, Kd is derived in this study from reported Koc at the Ca / pH 4 condition,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Peat Oe,PFTrA,PFCA,C13HF25O2,664,-0.2,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,663.00005011621158,96485,-145.52059916196444,13,25,0.32842105263157895,71.536144578313255,12,-1.7896814801737682,8.3000000000000007,4.0999999999999996,deionized water 40g/L,1.5636599999999998,27.999999999999996,0.15636599999999998,0.45869399999999994,8.2136986301369852,4.5869399999999991E-2,OA,14.715147999999999,KNN input,37.490533331999998,37.393866668000001,24.9392,KNN input,99.823599999999999,46.6,0.46600000000000003,10 mM  NaNO3,25,-,1.7264000000000002,-,208.15455394234891,446.68359215096331,2.6500000000000004,2.3183859166900005, Kd is derived in this study from reported Koc at the Ca / pH 3 condition,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Campos-Pereira,2022,Chemosphere, 10.1016/j.chemosphere.2022.134167,soil,Mor Oe,PFTrA,PFCA,C13HF25O2,664,-0.2,-,0,0,0,0.99993690824637249,0,6.3091753627486543E-5,1,0,-0.99993690824637249,663.00006309175365,96485,-145.51870801074023,13,25,0.32842105263157895,71.536144578313255,12,-1.7896814801737682,8.3000000000000007,4,deionized water 40g/L,0.279225,5.0000000000000009,2.7922499999999999E-2,0.40473000000000003,7.2473811442385179,4.0473000000000002E-2,OA,14.763688,KNN input,37.414333332000012,37.430866668,24.970400000000001,KNN input,99.815600000000003,53.6,0.53600000000000003,10 mM  NaNO3,25,-,1.7264000000000002,-,122.79050618835272,229.08676527677744,2.3600000000000003,2.0891647896927705, Kd is derived in this study from reported Koc at the Ca / pH 3 condition,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S5,PFHpS,PFSA,C7HF15O3S,450,0.1,-,0,0,0,0.99999994988127916,0,5.0118720850840682E-8,1,0,-0.99999994988127916,449.00000005011873,96485,-214.88863063145942,7,15,0.29473684210526313,63.333333333333329,7,2.9063350418050908,4.3,7.4,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,29.6,not reported,39.799999999999997,7.7,52.5,not reported,100,2.23,2.23E-2,10 mM CaCl2,100,-,5,-,1.08,48.430493273542602,1.685118892438789,3.342375548694973E-2,Reported Kd at the soil pH condition ,,,,,,,,,,,,,,,,,,,,,,,,,,
783,YanYin Chen,2013,Desalination and Water Treatment,10.1080/19443994.2013.792145,soil,S,PFOS,PFSA,C8HF17O3S,500,0.1,-,0,0,0,0.99999788933609435,0,2.1106639056048072E-6,1,0,-0.99999788933609435,499.00000211066384,96485,-193.35630449796173,8,17,0.29721362229102166,64.600000000000009,8,2.0166155475571776,5,5.7755799999999997,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,3.83,not reported,42,37,22,not reported,101,16,0.16,Deionized water,100,-,5,100,16.100000000000001,100.625,2.002705893375925,1.2068258760318498,Reported Kd originated from a linear isotherm,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Campos-Pereira,2018,Chemosphere, 10.1016/j.chemosphere.2018.05.012,soil,organic soil horitzon,PFOS,PFSA,C8HF17O3S,500,0.1,-,0,0,0,0.99996019086777477,0,3.9809132225250393E-5,1,0,-0.99996019086777477,499.00003980913226,96485,-193.34900063892044,8,17,0.29721362229102166,64.600000000000009,8,2.0166155475571776,5,4.5,deionized water,5.8637250000000002E-2,1.05,5.8637250000000002E-3,0.18454320000000002,6.84,1.8454320000000003E-2,"0,1 M HNO3",21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45,0.45,MIXTURE EXPERIMENTS,11.25,-,1.25,-,14230,31622.222222222223,4.4999923863089411,4.1532049000842841,Kd calculated in this study from avegraged log Koc values at different conditions,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Umeh,2021,Environmental Science & Technology, 10.1021/acs.est.0c07202,soil,Soil75,PFOS,PFSA,C8HF17O3S,500,0.1,-,0,0,0,0.99990880723294362,0,9.11927670563883E-5,1,0,-0.99990880723294362,499.00009119276706,96485,-193.33904536021652,8,17,0.29721362229102166,64.600000000000009,8,2.0166155475571776,5,4.1399999999999997,1:5 MQ,103.59247499999999,1855,10.359247499999999,17.402099999999997,645,1.7402099999999998,DCB,16.5,not reported,61.4,11.7,26.9,not reported,100,5.2,5.2000000000000005E-2,10 mM NaNO3 + 200 ppm NaN3,100,-,5,500,232.8,4476.9230769230771,3.6509796323430517,2.3669829759778507,Calculated in this study at Cw = 10% S,232.8,(ug/g)/(ug/L)^N,1,232.8,10.39,2418.7920000000004,232.8,,,,,,,,,,,,,,,,,,,
1098,Chanlong Wei,2019,Chemosphere, 10.1016/j.chemosphere.2018.10.098,soil,CQ,8:2 Cl-PFAES,PFAES,C8HClF16O4S,532.5,0.1,-,0,0,0,0.99998741090436938,0,1.258909563061765E-5,1,0,-0.99998741090436938,531.5000125890956,96485,-181.53110640789393,8,16,0.31578947368421051,57.089201877934272,8,1.1664301138432827,5.3,5,not reported,12.834313357129439,229.82027678627341,1.2834313357129439,0.36516673205178501,13.534719497842291,3.6516673205178499E-2,not reported,16.899999999999999,not reported,51,29,20,not reported,100,0.99,9.8999999999999991E-3,10 mM NaNO3,20,-,10,600,681.30000000000007,68818.181818181838,4.8377031943418478,2.8333383889393975,Kd calculated from Lanmguir parameters,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Campos-Pereira,2018,Chemosphere, 10.1016/j.chemosphere.2018.05.012,soil,organic soil horitzon,PFOSA,FOSA,C8H2F17NO2S,499,6.2,-,0,0,0,1.9562303872579508E-2,0,0.9804376961274206,1,0,-1.9562303872579508E-2,498.98043769612752,96485,-3.7826510751815832,10,19,0.33240997229916897,72.344689378757508,9,0.90308998699194354,6.3,4.5,deionized water,5.8637250000000002E-2,1.05,5.8637250000000002E-3,0.18454320000000002,6.84,1.8454320000000003E-2,"0,1 M HNO3",21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45,0.45,MIXTURE EXPERIMENTS,11.25,-,1.25,-,45000,100000,5,4.653212513775344, Kd is derived in this study from reported Koc at the Ca / pH 5 / 3 mM condition (Table S8),,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Campos Pereira,2023,Chemosphere, 10.1016/j.chemosphere.2023.138133,soil,Kungsangen (0-10cm),PFOSA,FOSA,C8H2F17NO2S,499,6.2,-,0,0,0,0.33386057541687802,0,0.66613942458312203,1,0,-0.33386057541687802,498.66613942458309,96485,-64.597403096725031,8,17,0.29721362229102166,64.729458917835672,8,0.90525604874845123,4.8,5.9,ISO 10390:2005,10.052100000000001,180,1.0052100000000002,1.3491,50,0.13491,Oxalate,20,CoHex,4.2,53,43,ISO 11277:2020,100.2,3.1,3.1E-2,10 mM NO3,10,-,-,-,549.54087385762534,17727.124963149206,4.248638306165728,2.74, log Kd values reported in Table S7 at pH 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole group PFAS compounds discarted because discrepant patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,6,6:2 FtSaAm,Cationic,C13H17F13N2O2S,512,9.3000000000000007,10.7,0.99992057323445127,0,0,2.5116869204948977E-10,0,7.9426514380181185E-5,1,0.99992057323445127,-2.5116869204948977E-10,512.99992057298334,96485,188.06501251800177,13,13,0.63157894736842102,48.2421875,6,3.1189257528257768,4.5999999999999996,5.2,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,16,Summation (pH7),3.6,73,24,not reported,100.6,9.8000000000000004E-2,9.7999999999999997E-4,artificial groundwater,100,-,0.45056000000000002,10.752000000000001,840,857142.85714285716,5.9330532103693869,2.9242792860618816,Reported Kd at Cw = 8.8 nM,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,A,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,701.00005011621158,96485,-137.63217922927268,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,5.2,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,9.6,Non reported,63,32,5,Non reported,100,1,0.01,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,19.952623149688804,1995.2623149688804,3.3000000000000003,1.3000000000000003,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,B,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99999800474166611,0,1.9952583339051196E-6,1,0,-0.99999800474166611,701.00000199525834,96485,-137.63881200124774,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,6.6,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,33.5,Non reported,25,38,37,Non reported,100,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,30.902954325135919,2809.359484103265,3.4486073148417753,1.4900000000000002,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,C,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.9999992056723962,0,7.9432760376743793E-7,1,0,-0.9999992056723962,701.00000079432755,96485,-137.63897753205524,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,7,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.3,Non reported,28,48,22,Non reported,98,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,114.81536214968835,10437.760195426214,4.0186073148417751,2.0600000000000005,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,D,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99874265748864466,0,1.2573425113552919E-3,1,0,-0.99874265748864466,701.00125734251139,96485,-137.4657809789181,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,3.8,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.89,Non reported,53,41,6,Non reported,100,3.6,3.6000000000000004E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,66.069344800759623,1835.2595777988781,3.263697499232713,1.82,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,E,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99968387220237043,0,3.1612779762961706E-4,1,0,-0.99968387220237043,701.00031612779765,96485,-137.59551342607574,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,4.4000000000000004,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,11.3,Non reported,58,20,22,Non reported,100,10.199999999999999,0.10199999999999999,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,66.069344800759623,647.7386745172513,2.8113998282380828,1.82,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
