Source,URL,year,Longitude,Latitude,pH,CEC,Sand,Silt,Clay,Corg
SoilGrids,https://soilgrids.org,2024,-93.5155563,30.9141674,5,10.8,39,42,19,0.05
SoilGrids,https://soilgrids.org,2024,-93.365708299999994,37.796213899999998,6.3,26,13.6,22.6,63.8,0.2
SoilGrids,https://soilgrids.org,2024,-93.298057600000007,37.7386093,5.3,11.2,18.600000000000001,63.6,17.899999999999999,1.8
SoilGrids,https://soilgrids.org,2024,-93.144447299999996,30.949443800000001,5.0999999999999996,2.8,56.4,26.4,17.2,0.02
SoilGrids,https://soilgrids.org,2024,-93.126113899999993,31.174167600000001,5.3,1.85,56.4,32.299999999999997,11.3,0.24
SoilGrids,https://soilgrids.org,2024,-93.099166699999998,39.900277799999998,5,31,2.8,39.700000000000003,57.5,1
SoilGrids,https://soilgrids.org,2024,-92.850777800000003,40.321972199999998,5.3,20.75,3.6,55.1,41.3,0.6
SoilGrids,https://soilgrids.org,2024,-92.766666700000002,39,6.3,26.1,2.9,65.3,31.7,0.6
SoilGrids,https://soilgrids.org,2024,-92.760358299999993,38.7583056,6.2,21.05,25.8,43.5,30.8,0.4
SoilGrids,https://soilgrids.org,2024,-92.755555599999994,37.612499999999997,5,13.5,7.8,45,47.2,0.2
SoilGrids,https://soilgrids.org,2024,-92.623944399999999,38.849111100000002,5.6,11.3,5.5,73.3,21.3,0.6
SoilGrids,https://soilgrids.org,2024,-92.622427799999997,40.060722200000001,5.7,20,8.1999999999999993,51.7,40.1,0.1
SoilGrids,https://soilgrids.org,2024,-92.587205600000004,36.93535,6.3,4.2,83.7,8.1999999999999993,8.1,0.5
SoilGrids,https://soilgrids.org,2024,-92.576111100000006,37.735555599999998,5,15,6.5,40.700000000000003,52.8,0.3
SoilGrids,https://soilgrids.org,2024,-92.506001800000007,37.021183399999998,5.5,3,28.5,60.9,10.6,0.8
SoilGrids,https://soilgrids.org,2024,-92.421111100000005,36.662777800000001,6.3,17.100000000000001,1.5,16.2,82.3,0.3
SoilGrids,https://soilgrids.org,2024,-92.414281299999999,38.2709014,4.8,15.25,3.8,62.1,34,0.2
SoilGrids,https://soilgrids.org,2024,-92.413027799999995,39.242888899999997,4.7,19.149999999999999,6.3,63.7,30,0.3
SoilGrids,https://soilgrids.org,2024,-92.354672399999998,38.463314699999998,5.3,2.85,28.4,62.9,8.6999999999999993,0.9
SoilGrids,https://soilgrids.org,2024,-92.345169067382798,38.967266082763601,7.9,4,28.8,50.9,20.3,0.6
SoilGrids,https://soilgrids.org,2024,-92.344999999999999,38.967222200000002,4.5999999999999996,21,6.6,67,33.6,0.3
SoilGrids,https://soilgrids.org,2024,-92.332984999999994,38.453460200000002,5.8,13.1,4.9000000000000004,76.7,18.3,2.2000000000000002
SoilGrids,https://soilgrids.org,2024,-92.268841699999996,36.796472199999997,5,10,8.6999999999999993,62.4,28.9,0.3
SoilGrids,https://soilgrids.org,2024,-92.260704000000004,38.382551900000003,5.3,3,30.3,59.9,9.8000000000000007,0.3
SoilGrids,https://soilgrids.org,2024,-92.230777799999998,37.823833299999997,4.5999999999999996,4,11.2,78.2,10.6,0.8
SoilGrids,https://soilgrids.org,2024,-92.216667200000003,38.900001500000002,5,6.75,6.2,78.7,15.1,0.38
SoilGrids,https://soilgrids.org,2024,-92.213611099999994,39.540277799999998,5.3,5.3,55.8,34,10.199999999999999,0.2
SoilGrids,https://soilgrids.org,2024,-92.174944400000001,36.7871667,4.9000000000000004,9,6.5,39.9,53.6,0.1
SoilGrids,https://soilgrids.org,2024,-92.165555600000005,39.045277800000001,5,26.75,2,41.8,56.2,0.8
SoilGrids,https://soilgrids.org,2024,-92.157657499999999,37.015350599999998,5.9,10,27.2,61.2,11.6,4.5999999999999996
SoilGrids,https://soilgrids.org,2024,-92.145733300000003,36.990052800000001,4.7,5,14.2,74.2,11.6,3.3
SoilGrids,https://soilgrids.org,2024,-92.140584200000006,36.9482809,5.0999999999999996,2,41.9,50.5,7.6,1.2
SoilGrids,https://soilgrids.org,2024,-92,36,5.6,2.8,74.2,22.2,3.6,1.2
SoilGrids,https://soilgrids.org,2024,-91.988080600000004,36.991455600000002,4.8,11,18.399999999999999,42.6,39,0.1
SoilGrids,https://soilgrids.org,2024,-91.868611099999995,39.179444400000001,4.9000000000000004,2.0499999999999998,68,28.7,3.3,0.1
SoilGrids,https://soilgrids.org,2024,-91.7733889,38.718888900000003,4.9000000000000004,22.95,5,52.9,42.1,0.4
SoilGrids,https://soilgrids.org,2024,-91.581055599999999,38.8828611,7.4,10,12.4,71.8,15.8,0.3
SoilGrids,https://soilgrids.org,2024,-91.535388900000001,38.866,6.9,13.1,9.6,77.7,12.7,2.1
SoilGrids,https://soilgrids.org,2024,-91.45975,38.674777800000001,5.2,16,2.1,62.8,35.1,0.3
SoilGrids,https://soilgrids.org,2024,-91.420736099999999,37.312049999999999,4.7,15.25,10.5,23.2,66.3,0.1
SoilGrids,https://soilgrids.org,2024,-91.406388899999996,38.8522222,4.4000000000000004,15,13.6,60.9,25.5,0.1
SoilGrids,https://soilgrids.org,2024,-91.386491699999993,37.299322199999999,5.5,4,17.2,55.8,27,0.4
SoilGrids,https://soilgrids.org,2024,-91.3546944,39.151027800000001,5.2,29.15,1.8,39.1,59,1.1000000000000001
SoilGrids,https://soilgrids.org,2024,-91.345944399999993,37.378525000000003,5,17.5,14.6,17.600000000000001,67.7,0.6
SoilGrids,https://soilgrids.org,2024,-91.255569399999999,37.104277799999998,4.9000000000000004,20,6.9,26.1,67,0.1
SoilGrids,https://soilgrids.org,2024,-91.245530599999995,37.574838900000003,5,4.3499999999999996,47.4,31.3,21.2,0.1
SoilGrids,https://soilgrids.org,2024,-91.194555300000005,37.916162999999997,6.3,12,18,73.599999999999994,8.4,2.9
SoilGrids,https://soilgrids.org,2024,-91.152703000000002,37.801962799999998,4.8,18,16.600000000000001,36.700000000000003,46.7,0.2
SoilGrids,https://soilgrids.org,2024,-91.095924999999994,37.1460972,5.7,9,17.8,40.1,65.3,0.2
SoilGrids,https://soilgrids.org,2024,-91.095686099999995,37.146147200000001,5.2,2,26,60.2,13.8,0.3
SoilGrids,https://soilgrids.org,2024,-91.090461099999999,37.094636100000002,4.7,16.399999999999999,0.6,7.6,91.8,0.1
SoilGrids,https://soilgrids.org,2024,-91.052402799999996,37.316269400000003,4.9000000000000004,4,24.7,54.3,21,0.1
SoilGrids,https://soilgrids.org,2024,-91.048505599999999,37.3181528,4.5999999999999996,14,9.3000000000000007,55.1,35.6,0.6
SoilGrids,https://soilgrids.org,2024,-91.039599999999993,37.3213194,4.7,5,19.399999999999999,66.900000000000006,13.7,0.1
SoilGrids,https://soilgrids.org,2024,-90.960800300000002,38.104919299999999,5.8,11.05,9.5,68.2,22.3,2.2999999999999998
SoilGrids,https://soilgrids.org,2024,-90.913416699999999,38.626477800000004,4,22,2.6,60.8,36.6,0.3
SoilGrids,https://soilgrids.org,2024,-90.652900700000004,37.085132600000001,5.3,3,56.3,30.7,13,0.3
SoilGrids,https://soilgrids.org,2024,-90.583055599999994,38.978611100000002,4.5999999999999996,3.4,4.3,84,11.7,1.2
SoilGrids,https://soilgrids.org,2024,-90.486114499999999,37.247222899999997,5.0999999999999996,4,46.7,18.5,34.799999999999997,0.1
SoilGrids,https://soilgrids.org,2024,-90.368331900000001,37.582637800000001,4.7,6.15,59.1,22.9,18,0.1
SoilGrids,https://soilgrids.org,2024,-90.335220300000003,37.4273338,4.8,14,6.1,54.3,39.6,0.1
SoilGrids,https://soilgrids.org,2024,-90.304885900000002,37.339359299999998,5.2,7,5,77,18,2.2999999999999998
SoilGrids,https://soilgrids.org,2024,-90.256881699999994,37.306419400000003,4.8,5,21.1,51.7,27.2,0.1
SoilGrids,https://soilgrids.org,2024,-90.179222100000004,37.425861400000002,5,14.9,4.5,61.8,33.6,0.3
SoilGrids,https://soilgrids.org,2024,-90.127357500000002,37.420799299999999,4.5,12.4,8.1,30.7,61.2,0.1
SoilGrids,https://soilgrids.org,2024,-90.050826999999998,36.817127200000002,5.2,12,1.7,71.3,27,0.2
SoilGrids,https://soilgrids.org,2024,-90.044380200000006,36.772365600000001,5.2,11,4.3,67.900000000000006,27.8,0.4
SoilGrids,https://soilgrids.org,2024,-89.959190399999997,36.486751599999998,6.1,1,89.1,7.8,3.1,0.1
SoilGrids,https://soilgrids.org,2024,-89.919426000000001,37.064273800000002,6.3,4,22.2,67.5,10.3,0.6
SoilGrids,https://soilgrids.org,2024,-89.910621599999999,37.566890700000002,6,10,4.7,74.400000000000006,20.9,0.7
SoilGrids,https://soilgrids.org,2024,-89.881927500000003,37.355110199999999,4.4000000000000004,9,6.3,75.2,18.5,0.04
SoilGrids,https://soilgrids.org,2024,-89.574333199999998,36.537387799999998,5,7,85.2,8.9,5.9,0.1
SoilGrids,https://soilgrids.org,2024,-89.348335300000002,37.272777599999998,4.7,13.3,1.8,78,20.2,0.06
SoilGrids,https://soilgrids.org,2024,-88.918667299999996,37.362292099999998,4.5,2.9,28.9,59.1,12,0.62
SoilGrids,https://soilgrids.org,2024,-88.528381300000007,38.636993400000001,4.9000000000000004,12,33.9,40.700000000000003,25.4,0.15
SoilGrids,https://soilgrids.org,2024,-88.455314599999994,33.9529152,5.3,5.15,38.799999999999997,29.4,31.8,0.05
SoilGrids,https://soilgrids.org,2024,-87.556663499999999,31.302221299999999,5,1.45,42.566665999999998,9.8000000000000007,47.633335000000002,0.02
SoilGrids,https://soilgrids.org,2024,-87.366943399999997,35.790000900000003,5.2,5,7.9,60.4,31.7,0.13
SoilGrids,https://soilgrids.org,2024,-86.849723800000007,39.310276000000002,5.0999999999999996,6.3,7.7,75.7,16.600000000000001,1.17
SoilGrids,https://soilgrids.org,2024,-86.783325199999993,31.085210799999999,5.2,0.95,79.099999999999994,2.1,18.8,0.04
SoilGrids,https://soilgrids.org,2024,-85.797729500000003,46.186943100000001,5.0999999999999996,2.4,74.599999999999994,19.5,5.9,0.57999999999999996
SoilGrids,https://soilgrids.org,2024,-85.713058500000002,38.816112500000003,4.9000000000000004,6.85,19.3,59.5,21.2,6.9999999999999993E-2
SoilGrids,https://soilgrids.org,2024,-83.957496599999999,35.195835099999996,4.3,3.15,33.5,43.5,23,2.2199999999999998
SoilGrids,https://soilgrids.org,2024,-83.906570400000007,32.558227500000001,5.2,3.35,55.6,19.8,24.6,0.94000000000000006
SoilGrids,https://soilgrids.org,2024,-82.497222899999997,33.282501199999999,5,1,65,6,29,0.18
SoilGrids,https://soilgrids.org,2024,-80.161388900000006,40.147222200000002,5.2,11,23.1,52.6,24.3,0.12
SoilGrids,https://soilgrids.org,2024,-79.678055599999993,41.6516667,5.4,11,10.1,62.4,27.5,0.38
SoilGrids,https://soilgrids.org,2024,-79.302780200000001,33.3855553,5.45,34.4,8.3000000000000007,22.1,69.599999999999994,13.85
SoilGrids,https://soilgrids.org,2024,-78.933914200000004,36.307300599999998,4.7,22,3.3,59.5,37.200000000000003,0.16999999999999998
SoilGrids,https://soilgrids.org,2024,-78.547775299999998,35.365001700000001,4.3,4.25,53.8,20,26.2,0.11000000000000001
SoilGrids,https://soilgrids.org,2024,-78.444722200000001,41.063333299999996,4.7,2,62.3,27.5,10.199999999999999,1.8
SoilGrids,https://soilgrids.org,2024,-77.473055599999995,40.207222199999997,5.2,6,18.3,60.6,21.1,1.8699999999999999
SoilGrids,https://soilgrids.org,2024,-77.183333333333294,1.1666666666666701,4.9000000000000004,6.7,28,55,17,13.059999999999999
SoilGrids,https://soilgrids.org,2024,-76.0833333333333,-5.7666666666666702,4.5999999999999996,4.4000000000000004,45,36,19,0.59000000000000008
SoilGrids,https://soilgrids.org,2024,-76.048614499999999,35.531944299999999,5.2,5,22.2,70.900000000000006,6.9,2.21
SoilGrids,https://soilgrids.org,2024,-76.028633099999993,36.865940100000003,4.9000000000000004,5,22.9,51.8,25.3,0.41
SoilGrids,https://soilgrids.org,2024,-75.608047499999998,37.571182299999997,4.2,1,98.5,0.8,0.7,0
SoilGrids,https://soilgrids.org,2024,-75.5823441,37.964965800000002,4.5999999999999996,24,45.5,27,27.5,34.910000000000004
SoilGrids,https://soilgrids.org,2024,-75.366668700000005,39.638889300000002,4.2,7,59.8,17.399999999999999,22.8,0.13999999999999999
SoilGrids,https://soilgrids.org,2024,-75.150000000000006,38.216666699999998,4.5,6.45,75,22.4,2.6,4.8600000000000003
SoilGrids,https://soilgrids.org,2024,-73.366699999999994,-7.5,5.2,24.9,44.8,31,24.2,0.8
SoilGrids,https://soilgrids.org,2024,-72.837013200000001,42.9749756,4.8,1.1499999999999999,70.099999999999994,26.2,3.7,0.85
SoilGrids,https://soilgrids.org,2024,-72.802780200000001,42.851387000000003,4.5999999999999996,3.3,67.5,28.6,3.9,2.93
SoilGrids,https://soilgrids.org,2024,-72.511459350585895,41.416099548339801,4.3,2.85,47.2,42.4,10.4,1.78
SoilGrids,https://soilgrids.org,2024,-71.031111100000004,41.935277800000001,4.5999999999999996,1.1499999999999999,84.1,12.5,3.4,1.1400000000000001
SoilGrids,https://soilgrids.org,2024,-70.933333333333294,4.56666666666667,5.0999999999999996,1.7,6,42,52,1.17
SoilGrids,https://soilgrids.org,2024,-70.6666666666667,-9.75,5.8,16.100000000000001,30,38,32,1.28
SoilGrids,https://soilgrids.org,2024,-68.6785,44.933361099999999,4.7,3.4,46.2,44.9,8.9,1.47
SoilGrids,https://soilgrids.org,2024,-67,-8.5,4.4000000000000004,4,27,51,22,0.13
SoilGrids,https://soilgrids.org,2024,-66.933300000000003,-1.6167,4.0999999999999996,4.2,63.9,18.600000000000001,17.5,0.7
SoilGrids,https://soilgrids.org,2024,-64.25,8.8999995999999992,4.7,0.8,80,7,13,0.24
SoilGrids,https://soilgrids.org,2024,-63.966700000000003,-8.3833000000000002,4.5,4.9000000000000004,27,55,18,2.15
SoilGrids,https://soilgrids.org,2024,-62.933300000000003,-10.1167,5,4,37,23,40,0.43
SoilGrids,https://soilgrids.org,2024,-58.116700000000002,-9.2166999999999994,4.3,2.2000000000000002,26.7,21.1,52.1,0.2
SoilGrids,https://soilgrids.org,2024,-55.716666666666697,5.25,5,1,89,3,8,0.49000000000000005
SoilGrids,https://soilgrids.org,2024,-55.3,-5.8167,4.4000000000000004,7.7,12,41,47,0.54
SoilGrids,https://soilgrids.org,2024,-53.9833,-14.566700000000001,5.0999999999999996,8.1,53,14,32,0.9
SoilGrids,https://soilgrids.org,2024,-52.416699999999999,-13.966699999999999,5.7,3.8,47,6,47,0.8
SoilGrids,https://soilgrids.org,2024,-50.416699999999999,-9.0667000000000009,4.0999999999999996,1.5,63.8,21.8,14.4,0.7
SoilGrids,https://soilgrids.org,2024,-50.216700000000003,-23.966699999999999,4.9000000000000004,16.3,25,25,50,1.1800000000000002
SoilGrids,https://soilgrids.org,2024,-48.7333,-15.166700000000001,5.8,4.2,12,28,60,0.61
SoilGrids,https://soilgrids.org,2024,-44.833300000000001,-3.35,4.2,38.9,2,36,62,4.83
SoilGrids,https://soilgrids.org,2024,-40.283299999999997,-7.7832999999999997,5.3,3.5,66.5,4,29,0.2
SoilGrids,https://soilgrids.org,2024,-36.799999999999997,-6.4166999999999996,5.9,9.9,53,36,11,1.44
SoilGrids,https://soilgrids.org,2024,-16.787777777777801,32.706944444444403,5.4,4,29,39,32,6
SoilGrids,https://soilgrids.org,2024,-15.23,16.52,7.4,4,86,4,10,0.15
SoilGrids,https://soilgrids.org,2024,-11.17,7.22,4.8,1.75,53,15,32,1.34
SoilGrids,https://soilgrids.org,2024,-10.77,6.4589999999999996,4.5999999999999996,3.8,53,14,33,5.89
SoilGrids,https://soilgrids.org,2024,-7.983333,12.666667,5.2,7.35,13,10,77,0.16999999999999998
SoilGrids,https://soilgrids.org,2024,-7.4350610000000001,4.4762139999999997,5.2,8.35,35.700000000000003,16.899999999999999,47.4,0.3
SoilGrids,https://soilgrids.org,2024,-1.6666700000000001,6.6666699999999999,4.9000000000000004,1.85,36.200000000000003,10.1,53.7,0.21000000000000002
SoilGrids,https://soilgrids.org,2024,-1.032011,11.708335,6.6,4.0999999999999996,31.5,29.8,38.799999999999997,0.2
SoilGrids,https://soilgrids.org,2024,0.94166700000000003,11.0722,6,15.4,31.4,42.7,25.5,0.24
SoilGrids,https://soilgrids.org,2024,1.738056,13.108333,6.3,4.8,32,46,22,0.22999999999999998
SoilGrids,https://soilgrids.org,2024,1.8436110000000001,13.638056000000001,7.3,6.8,46,24,30,0.3
SoilGrids,https://soilgrids.org,2024,2.0017999999999998,7.2237,7.2,11.2,46,5,49,2
SoilGrids,https://soilgrids.org,2024,2.0833330000000001,13.533333000000001,4.5999999999999996,1.1499999999999999,88.5,3.2,8.3000000000000007,0.09
SoilGrids,https://soilgrids.org,2024,2.1044999999999998,7.4992000000000001,7.3,26.9,46,26,28,0.7
SoilGrids,https://soilgrids.org,2024,2.2576000000000001,7.2542999999999997,6.8,8.1,76,17,7,1.5
SoilGrids,https://soilgrids.org,2024,2.403,7.4095000000000004,6.3,7.1,49,18,9,1
SoilGrids,https://soilgrids.org,2024,2.5177999999999998,7.4993999999999996,7.4,5.6,77,13,10,1
SoilGrids,https://soilgrids.org,2024,2.5554000000000001,7.1288999999999998,6.7,12.9,69,14,17,1.5
SoilGrids,https://soilgrids.org,2024,3.8837899999999999,7.495495,6.3,4.2,38,10,52,0.49000000000000005
SoilGrids,https://soilgrids.org,2024,4.1100000000000003,8.8650000000000002,7,5.4,77,12,12,0.41
SoilGrids,https://soilgrids.org,2024,4.5185000000000004,8.4749999999999996,5.7,11.3,48.8,27,24.2,0.35
SoilGrids,https://soilgrids.org,2024,7.18472222222222,48.371666666666698,5.6,16.100000000000001,78,12,10,0.16999999999999998
SoilGrids,https://soilgrids.org,2024,10.1000003814697,54.333328247070298,4.4000000000000004,1.1000000000000001,83.7,16,0.3,0.18
SoilGrids,https://soilgrids.org,2024,10.483667000000001,2.9546670000000002,5.4,4.75,28,39,33,0.1
SoilGrids,https://soilgrids.org,2024,11.45,3.6333329999999999,6.9,6.3,47.7,3.3,49,0.43
SoilGrids,https://soilgrids.org,2024,11.516667,3.5833330000000001,4.8,3.65,35.299999999999997,6.9,57.8,0.44000000000000006
SoilGrids,https://soilgrids.org,2024,12.116667,3.3833329999999999,5.5,5.6,57.1,9.3000000000000007,33.6,1.2
SoilGrids,https://soilgrids.org,2024,12.716666999999999,3.9166669999999999,4.9000000000000004,2.75,31,1.4,67.599999999999994,0.45
SoilGrids,https://soilgrids.org,2024,13.364875,-12.936119,8.6999999999999993,15.1,83.1,4.7,12.3,0.31
SoilGrids,https://soilgrids.org,2024,13.372854,-13.971251000000001,6.8,5.3,88.8,5.2,5.3,0.45999999999999996
SoilGrids,https://soilgrids.org,2024,13.881546999999999,-11.586448000000001,6.8,8,57.8,5.3,19.899999999999999,0.41
SoilGrids,https://soilgrids.org,2024,14.899999599999999,-5.4499997999999996,4.5999999999999996,4.25,39.9,24.8,35.299999999999997,0.43
SoilGrids,https://soilgrids.org,2024,15.31884,-9.9084710000000005,6.2,5.4,89.3,3.4,7.3,0.37
SoilGrids,https://soilgrids.org,2024,15.782628000000001,-9.4213310000000003,6.1,4.3,75,7,18,0.89
SoilGrids,https://soilgrids.org,2024,17.081955000000001,-9.2745870000000004,6,8.1999999999999993,83.7,2.2000000000000002,14.1,0.89
SoilGrids,https://soilgrids.org,2024,23.178332999999999,-20.259722,8.1,8.5,86,4,10,0.2
SoilGrids,https://soilgrids.org,2024,23.533332999999999,-19.849443999999998,6.5,21.1,48,9,44,0.2
SoilGrids,https://soilgrids.org,2024,23.616944,-19.763611000000001,6.7,8.6999999999999993,77,9,14,1.7
SoilGrids,https://soilgrids.org,2024,23.628056000000001,-19.763888999999999,6.1,16.3,47,13,35,0.1
SoilGrids,https://soilgrids.org,2024,23.8,-19.133333,7.5,7.3,86,6,12,1.4
SoilGrids,https://soilgrids.org,2024,24.254166999999999,-18.263332999999999,10.1,47.9,16,30,54,0.3
SoilGrids,https://soilgrids.org,2024,24.706944,-19.551389,6.7,4.3,91,6,3,0.3
SoilGrids,https://soilgrids.org,2024,24.766667000000002,-19.915278000000001,8.1,45.7,34,5,57,0.7
SoilGrids,https://soilgrids.org,2024,25.476111,-18.604444000000001,7.7,39.299999999999997,28,8,64,0.4
SoilGrids,https://soilgrids.org,2024,25.628056000000001,-18.619721999999999,5.0999999999999996,1.1499999999999999,92,4,5,0.2
SoilGrids,https://soilgrids.org,2024,26.136109999999999,-25.433330000000002,6.3,13.4,40,14,43,0.5
SoilGrids,https://soilgrids.org,2024,26.276430999999999,-15.696697,4.9000000000000004,1.5,89.7,7.3,3,0.13999999999999999
SoilGrids,https://soilgrids.org,2024,26.627777999999999,-23.130555999999999,8.1,84.3,18,4,78,0.3
SoilGrids,https://soilgrids.org,2024,26.837204,-12.006949000000001,5.8,1.25,41,29,30,0.2
SoilGrids,https://soilgrids.org,2024,26.893611,-23.080556000000001,7,3.8,84,5,11,0.3
SoilGrids,https://soilgrids.org,2024,27.014721999999999,-22.748888999999998,5.2,3.1,68,5,27,0.3
SoilGrids,https://soilgrids.org,2024,27.302222,-20.998888999999998,5.3,9.3000000000000007,70,4,26,0.4
SoilGrids,https://soilgrids.org,2024,28.041111000000001,-21.905277999999999,10.199999999999999,3.5,38,23,39,0.1
SoilGrids,https://soilgrids.org,2024,28.05,-28.866667,5.4,2.65,50,31.6,18.399999999999999,0.65999999999999992
SoilGrids,https://soilgrids.org,2024,28.431110400000001,-20.0333328,5.0999999999999996,1,88,2.7,9,0.1
SoilGrids,https://soilgrids.org,2024,28.466667000000001,-15.383333,6.2,4.5999999999999996,42,16,42,0.24
SoilGrids,https://soilgrids.org,2024,29.332999999999998,-3.2332999999999998,6.3,25.1,59,10,32,0.1
SoilGrids,https://soilgrids.org,2024,29.905280000000001,-31.005279999999999,5.4,2.6,28,29,41,1.02
SoilGrids,https://soilgrids.org,2024,30.44,-1.91,5.4,7.7,50,7,43,1.75
SoilGrids,https://soilgrids.org,2024,30.658332999999999,-29.45,5.0999999999999996,4.1500000000000004,33.799999999999997,16.8,52.4,0.52
SoilGrids,https://soilgrids.org,2024,30.67,-27.473330000000001,5.4,2,28,13,57,1.8
SoilGrids,https://soilgrids.org,2024,31.044445,-17.7600002,5.6,10.1,23.1,17.2,59.7,0.37
SoilGrids,https://soilgrids.org,2024,31.199000000000002,-27.13,4.5,1.2,58,4,38,1.01
SoilGrids,https://soilgrids.org,2024,31.558,-26.431999999999999,5.5,5.2,87,9,4,2.73
SoilGrids,https://soilgrids.org,2024,31.75,-19.8,5.2,0.6,77,10,13,0.05
SoilGrids,https://soilgrids.org,2024,32.204166399999998,-20.825000800000002,7.2,85.4,8,19.100000000000001,74,1.95
SoilGrids,https://soilgrids.org,2024,33.409999999999997,-9.89,7.4,19.7,64,6,30,0.59000000000000008
SoilGrids,https://soilgrids.org,2024,33.666666999999997,16.850000000000001,7.7,55.4,44,14,42,0.27999999999999997
SoilGrids,https://soilgrids.org,2024,34.5,-0.75138899999999997,5.3,22.5,38.9,42,19.100000000000001,0.85
SoilGrids,https://soilgrids.org,2024,35.4,0.5,5.8,15.4,14,26,60,2.2999999999999998
SoilGrids,https://soilgrids.org,2024,36.648595,14.264480000000001,9.1999999999999993,65.8,30,34,36,0.5
SoilGrids,https://soilgrids.org,2024,36.737777999999999,-1.2502219999999999,9.1,89.1,50.5,38.6,10.9,0
SoilGrids,https://soilgrids.org,2024,36.752222000000003,-0.7,4.5,5.4,4.5999999999999996,39,56.5,4.01
SoilGrids,https://soilgrids.org,2024,36.85,-0.1166,8.4,24.8,44,16,40,0.42000000000000004
SoilGrids,https://soilgrids.org,2024,37.033299999999997,6.6600000000000006E-2,6.9,6.2,34,12,62,0.83000000000000007
SoilGrids,https://soilgrids.org,2024,37.159999999999997,-0.7,6.8,1.7,40,20,40,0.05
SoilGrids,https://soilgrids.org,2024,37.366667,-1.3769439999999999,4.7,9,31,8,61,0.61
